Title,Author,Status
Hegel's Phenomenology of Spirit,(translated by A. V. Miller),Not Started
The End of Policing,Alex S. Vitale,Not Started
The Closing of the American Mind: How Higher Education Has Failed Democracy and Impoverished the Souls of Today's Students,Allan Bloom,Not Started
Give Them an Argument: Logic for the Left,Ben Burgis,Finished
The Fall of the Faculty: The Rise of the All-Administrative University and Why It Matters,Benjamin Ginsberg,Not Started
Guide to Political Revolution,Bernie Sanders,Dropped
Our Revolution,Bernie Sanders,Finished
Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson,Camille Paglia,Not Started
Live Work Work Work Die: A Journey into the Savage Heart of Silicon Valley,Corey Pein,Not Started
Bullshit Jobs,David Graeber,Not Started
The Fall of the House of Labor,David Montgomery,Not Started
Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman and Noam Chomsky,Not Started
Permanent Record,Edward Snowden,Not Started
Orientalism,Edward W. Said,Not Started
A History of America in Ten Strikes,Erik Loomis,Finished
"Black Skin, White Masks",Frantz Fanon,Not Started
Linear Algebra and Its Applications,Gilbert Strang,In-Progress
A People's History of the United States,Howard Zinn,In-Progress
Farewell to Manzanar,Jeanne Wakatsuki Houston & James D. Houston,Not Started
The View from the Center of the Universe,Joel R. Primack and Nancy Ellen Abrams,Finished
Lost Connections: Uncovering the Real Causes of Depression â€“ and the Unexpected Solutions,Johann Hari,Finished
Climate Change: What Everyone Needs to Know,Joseph Romm,Finished
The Great Transformation: The Political and Economic Origins of Our Time,Karl Polanyi,Not Started
Our Enemies in Blue: Police and Power in America,Kristian Williams,Not Started
A People's Republic of Walmart: How the World's Biggest Corporations are Laying the Foundation for Socialism,Leigh Phillips & Michael Rozworski,Not Started
Flash Boys: A Wall Street Revolt,Michael Lewis,Not Started
Chomsky on Democracy & Education,Noam Chomsky,Not Started
It is the Responsibility of the Intellectuals to Speak the Truth and to Expose Lies,Noam Chomsky,Not Started
On Anarchism,Noam Chomsky,Not Started
"Optimism Over Despair: On Capitalism, Empire, and Social Change",Noam Chomsky,Finished
Profit Over People: Neoliberalism and Global Order,Noam Chomsky,Not Started
Understanding Power: The Indispensable Chomsky,Noam Chomsky,Not Started
Political Economy and Laissez-Faire: Economics and Ideology in the Ricardian Era,Rajani K. Kanth,Not Started
Dynamic Programming,Richard Bellman,Not Started
Capitalism's Crisis Deepens,Richard D. Wolff,Not Started
Understanding Marxism,Richard D. Wolff,Finished
The Age of Surveillance Capitalism: The Fight For a Human Future at the New Frontier of Power,Shoshana Zuboff,Not Started
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,In-Progress
The Hidden History of the War on Voting: Who Stole Your Vote and How to Get It Back,Thom Hartmann,Not Started
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,Finished
Against the Web: A Cosmopolitan Answer to the New Right,Michael Brooks,Not Started
"Merge Left: Fusing Race and Class, Winning Elections, and Saving America",Ian Haney Lopez,Not Started
